"","fips","evanrate","stname"
"1",1001,503.99,"Alabama"
"2",1003,318.138888888889,"Alabama"
"3",1005,320.25,"Alabama"
"4",1007,443.328888888889,"Alabama"
"5",1009,509.8,"Alabama"
"6",1011,197.18,"Alabama"
"7",1013,413.088888888889,"Alabama"
"8",1015,569.808888888889,"Alabama"
"9",1017,377.12,"Alabama"
"10",1019,418.06,"Alabama"
"11",1021,609.668888888889,"Alabama"
"12",1023,438.698888888889,"Alabama"
"13",1025,527.768888888889,"Alabama"
"14",1027,638.75,"Alabama"
"15",1029,696.97,"Alabama"
"16",1031,518.32,"Alabama"
"17",1033,546.758888888889,"Alabama"
"18",1035,324.838888888889,"Alabama"
"19",1037,362.25,"Alabama"
"20",1039,530.97,"Alabama"
"21",1041,535.158888888889,"Alabama"
"22",1043,669.888888888889,"Alabama"
"23",1045,357.778888888889,"Alabama"
"24",1047,382.568888888889,"Alabama"
"25",1049,457.55,"Alabama"
"26",1051,356.04,"Alabama"
"27",1053,467.568888888889,"Alabama"
"28",1055,615.878888888889,"Alabama"
"29",1057,550.428888888889,"Alabama"
"30",1059,527.788888888889,"Alabama"
"31",1061,478.05,"Alabama"
"32",1063,125.37,"Alabama"
"33",1065,276.778888888889,"Alabama"
"34",1067,348.23,"Alabama"
"35",1069,595.648888888889,"Alabama"
"36",1071,453.078888888889,"Alabama"
"37",1073,469.25,"Alabama"
"38",1075,611.23,"Alabama"
"39",1077,441.838888888889,"Alabama"
"40",1079,457.528888888889,"Alabama"
"41",1081,214.55,"Alabama"
"42",1083,405.67,"Alabama"
"43",1085,215.86,"Alabama"
"44",1087,125.628888888889,"Alabama"
"45",1089,315.11,"Alabama"
"46",1091,507.49,"Alabama"
"47",1093,529.888888888889,"Alabama"
"48",1095,469.87,"Alabama"
"49",1097,361.47,"Alabama"
"50",1099,372.68,"Alabama"
"51",1101,304.73,"Alabama"
"52",1103,499.18,"Alabama"
"53",1105,274.29,"Alabama"
"54",1107,496.05,"Alabama"
"55",1109,306.938888888889,"Alabama"
"56",1111,395.1,"Alabama"
"57",1113,446.67,"Alabama"
"58",1115,407.518888888889,"Alabama"
"59",1117,317.47,"Alabama"
"60",1119,193.56,"Alabama"
"61",1121,407.078888888889,"Alabama"
"62",1123,473.708888888889,"Alabama"
"63",1125,368.87,"Alabama"
"64",1127,583.648888888889,"Alabama"
"65",1129,420.398888888889,"Alabama"
"66",1131,294.938888888889,"Alabama"
"67",1133,551.34,"Alabama"
"68",2013,42.6588888888889,"Alaska"
"69",2016,41.7188888888889,"Alaska"
"70",2020,153.098888888889,"Alaska"
"71",2050,29.4488888888889,"Alaska"
"72",2060,6.01888888888889,"Alaska"
"73",2068,169.77,"Alaska"
"74",2070,91.1888888888889,"Alaska"
"75",2090,143.34,"Alaska"
"76",2100,137.158888888889,"Alaska"
"77",2105,92.09,"Alaska"
"78",2110,91.67,"Alaska"
"79",2122,174.87,"Alaska"
"80",2130,142.24,"Alaska"
"81",2150,91.1588888888889,"Alaska"
"82",2164,NA,"Alaska"
"83",2170,169.4,"Alaska"
"84",2180,118.73,"Alaska"
"85",2185,48.0388888888889,"Alaska"
"86",2188,218.53,"Alaska"
"87",2195,113.238888888889,"Alaska"
"88",2198,173.59,"Alaska"
"89",2201,NA,"Alaska"
"90",2220,104.488888888889,"Alaska"
"91",2230,2.06888888888889,"Alaska"
"92",2231,NA,"Alaska"
"93",2232,NA,"Alaska"
"94",2240,144.258888888889,"Alaska"
"95",2261,162.198888888889,"Alaska"
"96",2270,95.7188888888889,"Alaska"
"97",2275,119.04,"Alaska"
"98",2280,NA,"Alaska"
"99",2282,80.06,"Alaska"
"100",2290,29.35,"Alaska"
"101",4001,53.6088888888889,"Arizona"
"102",4003,104.858888888889,"Arizona"
"103",4005,80.23,"Arizona"
"104",4007,101.048888888889,"Arizona"
"105",4009,53.3288888888889,"Arizona"
"106",4011,67.68,"Arizona"
"107",4012,112.938888888889,"Arizona"
"108",4013,140.008888888889,"Arizona"
"109",4015,65.84,"Arizona"
"110",4017,129.978888888889,"Arizona"
"111",4019,100.26,"Arizona"
"112",4021,54.59,"Arizona"
"113",4023,42.3688888888889,"Arizona"
"114",4025,108.78,"Arizona"
"115",4027,93.7,"Arizona"
"116",5001,510.49,"Arkansas"
"117",5003,652.768888888889,"Arkansas"
"118",5005,358.54,"Arkansas"
"119",5007,327.85,"Arkansas"
