fips,hsonly,ba.above
00000,28.0,29.3
01000,31.1,23.1
01001,33.5,21.9
01003,28.8,28.6
01005,33.4,13.6
01007,40.1,10.2
01009,34.5,12.3
01011,32.3,14.1
01013,37.1,14.3
01015,32.4,16.9
01017,37.3,12.2
01019,35.9,13.7
01021,40.0,13.5
01023,35.2,12.8
01025,43.9,11.9
01027,36.2,8.6
01029,38.6,10.6
01031,29.8,23.2
01033,33.8,17.6
01035,42.8,8.3
01037,39.5,9.1
01039,34.1,14.6
01041,38.6,12.5
01043,33.2,15.1
01045,31.1,16.9
01047,35.4,14.5
01049,34.9,11.3
01051,35.2,21.4
01053,40.3,12.5
01055,32.3,15.4
01057,38.1,13.8
01059,36.4,10.9
01061,38.5,11.2
01063,36.7,11.5
01065,40.8,14.0
01067,35.8,16.8
01069,33.9,20.1
01071,37.4,12.9
01073,26.6,30.3
01075,38.2,11.4
01077,33.6,22.1
01079,39.4,11.3
01081,26.0,33.2
01083,31.3,23.1
01085,33.9,13.2
01087,30.3,19.4
01089,21.2,38.6
01091,41.6,16.0
01093,34.1,11.1
01095,32.5,16.1
01097,32.8,21.4
01099,40.9,12.5
01101,26.3,31.3
01103,31.9,19.9
01105,38.7,9.1
01107,42.6,9.6
01109,33.7,23.6
01111,38.1,12.4
01113,32.5,15.5
01115,35.6,15.5
01117,21.4,40.2
01119,40.2,15.0
01121,37.8,12.5
01123,35.5,17.6
01125,30.9,27.7
01127,35.2,10.7
01129,48.5,10.3
01131,42.1,11.5
01133,33.3,11.1
02000,27.5,27.7
02010,,
02013,40.4,12.6
02016,36.7,15.4
02020,23.3,32.9
02050,41.7,11.4
02060,28.6,20.2
02068,26.1,29.5
02070,35.8,16.6
02090,24.2,30.5
02100,31.5,31.3
02105,30.1,29.3
02110,21.4,37.8
02122,32.4,23.3
02130,33.5,24.6
02150,25.7,21.6
02160,,
02164,40.3,13.7
02170,32.1,20.9
02180,42.5,14.7
02185,35.4,13.4
02188,41.8,12.0
02195,33.2,25.2
02198,42.1,16.3
02201,,
02220,21.7,32.9
02230,29.0,34.6
02231,,
02232,,
02240,31.3,20.7
02250,,
02261,26.5,24.1
02270,48.3,4.5
02275,35.5,18.7
02280,,
02282,39.2,20.3
02290,37.8,10.1
04000,24.5,27.1
04001,32.9,10.1
04003,23.7,23.1
04005,21.7,32.8
04007,30.1,17.1
04009,34.0,13.6
04011,36.9,11.8
04012,35.7,10.2
04013,23.3,30.0
04015,34.7,12.2
04017,29.0,14.5
04019,22.8,30.1
04021,29.9,17.8
04023,25.9,22.0
04025,25.9,24.9
04027,25.3,14.0
05000,35.0,20.6
05001,44.0,13.9
05003,43.5,12.7
05005,35.7,17.4
05007,30.7,29.6
05009,36.6,15.1
05011,43.0,11.2
05013,49.0,10.6
05015,35.9,17.0
05017,41.8,11.3
05019,35.1,22.3
05021,44.4,9.8
05023,37.4,17.2
05025,43.4,14.6
05027,35.2,21.3
05029,42.1,16.5
05031,32.6,24.8
05033,39.8,14.3
05035,36.4,14.6
05037,45.8,12.4
05039,53.1,11.8
05041,41.9,11.6
05043,37.2,20.4
05045,31.7,27.3
05047,40.6,12.6
05049,44.2,10.7
05051,32.5,21.0
05053,41.8,15.3
05055,42.8,14.9
05057,36.3,14.0
05059,41.3,14.1
05061,35.8,14.4
05063,39.0,14.8
05065,39.1,12.3
05067,46.6,7.9
05069,37.5,17.1
05071,41.2,16.3
05073,43.6,12.4
05075,44.0,11.8
05077,40.6,6.4
05079,45.8,8.5
05081,39.7,11.8
05083,42.2,11.8
05085,34.8,18.7
05087,45.4,9.7
05089,41.2,12.8
05091,41.0,12.7
05093,36.8,13.1
05095,38.3,12.1
05097,37.6,13.6
05099,39.9,14.2
05101,44.7,11.3
05103,42.1,15.9
05105,42.0,14.4
05107,29.7,12.9
05109,36.5,12.8
05111,42.4,8.0
05113,38.0,12.6
05115,33.3,21.1
05117,43.8,10.4
05119,27.6,32.0
05121,38.1,14.4
05123,37.3,11.8
05125,34.3,23.0
05127,36.8,12.2
05129,39.3,13.9
05131,32.0,19.7
05133,33.0,8.3
05135,42.8,10.6
05137,37.2,16.3
05139,36.5,17.4
05141,41.8,12.2
05143,28.1,29.3
05145,36.7,19.0
05147,42.5,9.0
05149,41.4,11.9
06000,20.7,31.0
06001,18.9,42.1
