,cand_id,cand_name,votes,total,state,fips,pct
18346,WY55029,Donald Trump,2898,3334,WY,56045,0.869226155
18347,WY55028,Hillary Clinton,294,3334,WY,56045,0.088182364
18348,WY55030,Gary Johnson,103,3334,WY,56045,0.030893821
18349,WY55031,Darrell Castle,25,3334,WY,56045,0.0074985
18350,WY55033,Jill Stein,9,3334,WY,56045,0.00269946
18351,WY55032,Rocky De La Fuente,5,3334,WY,56045,0.0014997
18340,WY55029,Donald Trump,2911,3715,WY,56043,0.783580081
18341,WY55028,Hillary Clinton,532,3715,WY,56043,0.14320323
18342,WY55030,Gary Johnson,194,3715,WY,56043,0.052220727
18343,WY55033,Jill Stein,37,3715,WY,56043,0.009959623
18344,WY55031,Darrell Castle,31,3715,WY,56043,0.008344549
18345,WY55032,Rocky De La Fuente,10,3715,WY,56043,0.00269179
18334,WY55029,Donald Trump,6154,8053,WY,56041,0.764187259
18335,WY55028,Hillary Clinton,1202,8053,WY,56041,0.149261145
18336,WY55030,Gary Johnson,472,8053,WY,56041,0.058611698
18337,WY55031,Darrell Castle,116,8053,WY,56041,0.01440457
18338,WY55033,Jill Stein,79,8053,WY,56041,0.009810009
18339,WY55032,Rocky De La Fuente,30,8053,WY,56041,0.00372532
18328,WY55028,Hillary Clinton,7313,12176,WY,56039,0.600607753
18329,WY55029,Donald Trump,3920,12176,WY,56039,0.321944809
18330,WY55030,Gary Johnson,701,12176,WY,56039,0.057572273
18331,WY55033,Jill Stein,172,12176,WY,56039,0.01412615
18332,WY55031,Darrell Castle,43,12176,WY,56039,0.003531537
18333,WY55032,Rocky De La Fuente,27,12176,WY,56039,0.002217477
18322,WY55029,Donald Trump,12153,16661,WY,56037,0.729428006
18323,WY55028,Hillary Clinton,3233,16661,WY,56037,0.194045976
18324,WY55030,Gary Johnson,928,16661,WY,56037,0.055698938
18325,WY55033,Jill Stein,152,16661,WY,56037,0.009123102
18326,WY55031,Darrell Castle,130,16661,WY,56037,0.007802653
18327,WY55032,Rocky De La Fuente,65,16661,WY,56037,0.003901326
18316,WY55029,Donald Trump,3409,4297,WY,56035,0.793344194
18317,WY55028,Hillary Clinton,644,4297,WY,56035,0.149872004
18318,WY55030,Gary Johnson,169,4297,WY,56035,0.039329765
18319,WY55031,Darrell Castle,34,4297,WY,56035,0.007912497
18320,WY55033,Jill Stein,28,4297,WY,56035,0.006516174
18321,WY55032,Rocky De La Fuente,13,4297,WY,56035,0.003025367
18310,WY55029,Donald Trump,10266,14187,WY,56033,0.723620216
18311,WY55028,Hillary Clinton,2926,14187,WY,56033,0.206245154
18312,WY55030,Gary Johnson,729,14187,WY,56033,0.051385071
18313,WY55033,Jill Stein,158,14187,WY,56033,0.011136956
18314,WY55031,Darrell Castle,76,14187,WY,56033,0.005357017
18315,WY55032,Rocky De La Fuente,32,14187,WY,56033,0.002255586
18304,WY55029,Donald Trump,3437,4460,WY,56031,0.770627803
18305,WY55028,Hillary Clinton,719,4460,WY,56031,0.161210762
18306,WY55030,Gary Johnson,180,4460,WY,56031,0.040358744
18307,WY55031,Darrell Castle,82,4460,WY,56031,0.01838565
18308,WY55033,Jill Stein,36,4460,WY,56031,0.008071749
18309,WY55032,Rocky De La Fuente,6,4460,WY,56031,0.001345291
18298,WY55029,Donald Trump,11115,14634,WY,56029,0.759532595
18299,WY55028,Hillary Clinton,2535,14634,WY,56029,0.173226732
18300,WY55030,Gary Johnson,625,14634,WY,56029,0.04270876
18301,WY55031,Darrell Castle,153,14634,WY,56029,0.010455105
18302,WY55033,Jill Stein,151,14634,WY,56029,0.010318437
18303,WY55032,Rocky De La Fuente,55,14634,WY,56029,0.003758371
18292,WY55029,Donald Trump,1116,1297,WY,56027,0.860447186
18293,WY55028,Hillary Clinton,115,1297,WY,56027,0.088666153
18294,WY55030,Gary Johnson,49,1297,WY,56027,0.037779491
18295,WY55031,Darrell Castle,7,1297,WY,56027,0.00539707
18296,WY55033,Jill Stein,7,1297,WY,56027,0.00539707
18297,WY55032,Rocky De La Fuente,3,1297,WY,56027,0.00231303
18286,WY55029,Donald Trump,23523,32493,WY,56025,0.723940541
18287,WY55028,Hillary Clinton,6573,32493,WY,56025,0.202289724
18288,WY55030,Gary Johnson,1787,32493,WY,56025,0.054996461
18289,WY55033,Jill Stein,310,32493,WY,56025,0.009540516
18290,WY55031,Darrell Castle,226,32493,WY,56025,0.006955344
18291,WY55032,Rocky De La Fuente,74,32493,WY,56025,0.002277414
18280,WY55029,Donald Trump,6779,8398,WY,56023,0.807216004
18281,WY55028,Hillary Clinton,1105,8398,WY,56023,0.131578947
18282,WY55030,Gary Johnson,331,8398,WY,56023,0.039414146
18283,WY55031,Darrell Castle,112,8398,WY,56023,0.013336509
18284,WY55033,Jill Stein,46,8398,WY,56023,0.005477495
18285,WY55032,Rocky De La Fuente,25,8398,WY,56023,0.002976899
18274,WY55029,Donald Trump,24844,39945,WY,56021,0.621955188
18275,WY55028,Hillary Clinton,11572,39945,WY,56021,0.289698335
18276,WY55030,Gary Johnson,2656,39945,WY,56021,0.066491426
18277,WY55033,Jill Stein,434,39945,WY,56021,0.010864939
18278,WY55031,Darrell Castle,324,39945,WY,56021,0.008111153
18279,WY55032,Rocky De La Fuente,115,39945,WY,56021,0.002878959
18268,WY55029,Donald Trump,3477,4349,WY,56019,0.799494137
18269,WY55028,Hillary Clinton,638,4349,WY,56019,0.146700391
18270,WY55030,Gary Johnson,174,4349,WY,56019,0.040009198
18271,WY55033,Jill Stein,33,4349,WY,56019,0.007587951
18272,WY55031,Darrell Castle,19,4349,WY,56019,0.00436882
18273,WY55032,Rocky De La Fuente,8,4349,WY,56019,0.001839503
18262,WY55029,Donald Trump,1939,2535,WY,56017,0.764891519
18263,WY55028,Hillary Clinton,400,2535,WY,56017,0.157790927
18264,WY55030,Gary Johnson,136,2535,WY,56017,0.053648915
18265,WY55033,Jill Stein,35,2535,WY,56017,0.013806706
18266,WY55031,Darrell Castle,21,2535,WY,56017,0.008284024
18267,WY55032,Rocky De La Fuente,4,2535,WY,56017,0.001577909
18256,WY55029,Donald Trump,4418,5708,WY,56015,0.774001402
18257,WY55028,Hillary Clinton,924,5708,WY,56015,0.161878066
18258,WY55030,Gary Johnson,234,5708,WY,56015,0.040995095
18259,WY55031,Darrell Castle,68,5708,WY,56015,0.011913104
18260,WY55033,Jill Stein,45,5708,WY,56015,0.007883672
18261,WY55032,Rocky De La Fuente,19,5708,WY,56015,0.003328662
18250,WY55029,Donald Trump,11167,16543,WY,56013,0.675028713
18251,WY55028,Hillary Clinton,4200,16543,WY,56013,0.253883818
18252,WY55030,Gary Johnson,773,16543,WY,56013,0.046726712
18253,WY55033,Jill Stein,233,16543,WY,56013,0.014084507
18254,WY55031,Darrell Castle,110,16543,WY,56013,0.006649338
18255,WY55032,Rocky De La Fuente,60,16543,WY,56013,0.003626912
18244,WY55029,Donald Trump,3347,3771,WY,56011,0.887562981
18245,WY55028,Hillary Clinton,271,3771,WY,56011,0.071864227
18246,WY55030,Gary Johnson,118,3771,WY,56011,0.031291435
18247,WY55031,Darrell Castle,18,3771,WY,56011,0.00477327
18248,WY55033,Jill Stein,11,3771,WY,56011,0.002916998
18249,WY55032,Rocky De La Fuente,6,3771,WY,56011,0.00159109
18238,WY55029,Donald Trump,5520,6552,WY,56009,0.842490842
18239,WY55028,Hillary Clinton,668,6552,WY,56009,0.101953602
18240,WY55030,Gary Johnson,251,6552,WY,56009,0.038308913
18241,WY55031,Darrell Castle,51,6552,WY,56009,0.007783883
18242,WY55033,Jill Stein,42,6552,WY,56009,0.006410256
18243,WY55032,Rocky De La Fuente,20,6552,WY,56009,0.003052503
18232,WY55029,Donald Trump,4409,6200,WY,56007,0.711129032
18233,WY55028,Hillary Clinton,1279,6200,WY,56007,0.206290323
18234,WY55030,Gary Johnson,381,6200,WY,56007,0.061451613
18235,WY55031,Darrell Castle,61,6200,WY,56007,0.00983871
18236,WY55033,Jill Stein,49,6200,WY,56007,0.007903226
18237,WY55032,Rocky De La Fuente,21,6200,WY,56007,0.003387097
18226,WY55029,Donald Trump,15778,17935,WY,56005,0.879732367
18227,WY55028,Hillary Clinton,1324,17935,WY,56005,0.073822135
18228,WY55030,Gary Johnson,653,17935,WY,56005,0.036409256
18229,WY55031,Darrell Castle,86,17935,WY,56005,0.004795093
18230,WY55033,Jill Stein,66,17935,WY,56005,0.003679955
18231,WY55032,Rocky De La Fuente,28,17935,WY,56005,0.001561193
18220,WY55029,Donald Trump,4067,5079,WY,56003,0.800748179
18221,WY55028,Hillary Clinton,594,5079,WY,56003,0.116952156
18222,WY55030,Gary Johnson,250,5079,WY,56003,0.049222288
18223,WY55031,Darrell Castle,112,5079,WY,56003,0.022051585
18224,WY55033,Jill Stein,35,5079,WY,56003,0.00689112
18225,WY55032,Rocky De La Fuente,21,5079,WY,56003,0.004134672
18214,WY55029,Donald Trump,7601,16420,WY,56001,0.462911084
18215,WY55028,Hillary Clinton,6888,16420,WY,56001,0.419488429
18216,WY55030,Gary Johnson,1391,16420,WY,56001,0.084713764
18217,WY55033,Jill Stein,344,16420,WY,56001,0.020950061
18218,WY55031,Darrell Castle,133,16420,WY,56001,0.008099878
18219,WY55032,Rocky De La Fuente,63,16420,WY,56001,0.003836784
17914,WI27062,Donald Trump,21502,37712,WI,55141,0.570163343
17915,WI27063,Hillary Clinton,14232,37712,WI,55141,0.377386508
17916,WI27069,Gary Johnson,1364,37712,WI,55141,0.036168859
17917,WI27072,Jill Stein,392,37712,WI,55141,0.010394569
17918,WI27071,Darrell Castle,181,37712,WI,55141,0.004799533
17919,WI27073,Monica Moorehead,27,37712,WI,55141,0.000715952
17920,WI27070,Rocky De La Fuente,14,37712,WI,55141,0.000371235
17907,WI27062,Donald Trump,43447,85892,WI,55139,0.505832906
17908,WI27063,Hillary Clinton,37054,85892,WI,55139,0.431402226
17909,WI27069,Gary Johnson,3820,85892,WI,55139,0.044474456
17910,WI27072,Jill Stein,1063,85892,WI,55139,0.012376007
17911,WI27071,Darrell Castle,397,85892,WI,55139,0.004622084
17912,WI27070,Rocky De La Fuente,62,85892,WI,55139,0.000721837
17913,WI27073,Monica Moorehead,49,85892,WI,55139,0.000570484
17900,WI27062,Donald Trump,7669,11961,WI,55137,0.641167126
17901,WI27063,Hillary Clinton,3802,11961,WI,55137,0.317866399
17902,WI27069,Gary Johnson,314,11961,WI,55137,0.026251986
17903,WI27072,Jill Stein,93,11961,WI,55137,0.00777527
17904,WI27071,Darrell Castle,67,11961,WI,55137,0.005601538
17905,WI27073,Monica Moorehead,9,11961,WI,55137,0.000752445
17906,WI27070,Rocky De La Fuente,7,11961,WI,55137,0.000585235
17893,WI27062,Donald Trump,16013,25491,WI,55135,0.628182496
17894,WI27063,Hillary Clinton,8303,25491,WI,55135,0.325722804
17895,WI27069,Gary Johnson,793,25491,WI,55135,0.031109019
17896,WI27072,Jill Stein,237,25491,WI,55135,0.009297399
17897,WI27071,Darrell Castle,109,25491,WI,55135,0.004276019
17898,WI27070,Rocky De La Fuente,18,25491,WI,55135,0.000706132
17899,WI27073,Monica Moorehead,18,25491,WI,55135,0.000706132
17886,WI27062,Donald Trump,145519,236269,WI,55133,0.615903906
17887,WI27063,Hillary Clinton,79199,236269,WI,55133,0.335206904
17888,WI27069,Gary Johnson,8890,236269,WI,55133,0.037626604
17889,WI27072,Jill Stein,1674,236269,WI,55133,0.007085144
17890,WI27071,Darrell Castle,840,236269,WI,55133,0.00355527
17891,WI27070,Rocky De La Fuente,83,236269,WI,55133,0.000351294
17892,WI27073,Monica Moorehead,64,236269,WI,55133,0.000270878
17879,WI27062,Donald Trump,51729,76246,WI,55131,0.678448706
17880,WI27063,Hillary Clinton,20854,76246,WI,55131,0.27350943
17881,WI27069,Gary Johnson,2745,76246,WI,55131,0.036001889
17882,WI27072,Jill Stein,548,76246,WI,55131,0.007187262
17883,WI27071,Darrell Castle,309,76246,WI,55131,0.004052672
17884,WI27073,Monica Moorehead,36,76246,WI,55131,0.000472156
17885,WI27070,Rocky De La Fuente,25,76246,WI,55131,0.000327886
17872,WI27062,Donald Trump,5404,9059,WI,55129,0.596533834
17873,WI27063,Hillary Clinton,3283,9059,WI,55129,0.362402031
17874,WI27069,Gary Johnson,267,9059,WI,55129,0.029473452
17875,WI27072,Jill Stein,74,9059,WI,55129,0.008168672
17876,WI27071,Darrell Castle,26,9059,WI,55129,0.002870074
17877,WI27073,Monica Moorehead,3,9059,WI,55129,0.000331162
17878,WI27070,Rocky De La Fuente,2,9059,WI,55129,0.000220775
17865,WI27062,Donald Trump,28848,50570,WI,55127,0.570456793
